"","Country","Ladder","GDP","Support","LifeExp","Freedom","PosAffect","NegAffect","Continent","AA","Asia","Africa","Americas"
"64","Kazakhstan",5.53355169296265,24018.1486593803,0.927810668945312,65.2588272094727,0.782805562019348,0.702479124069214,0.15541473031044,"Asia",TRUE,TRUE,FALSE,FALSE
"65","Kenya",4.39612770080566,2994.77780884793,0.705921590328217,54.5826454162598,0.748508274555206,0.742762327194214,0.225647658109665,"Africa",TRUE,FALSE,TRUE,FALSE
"66","Kosovo",5.75941228866577,9547.9027794747,0.823802709579468,62.2653923034668,0.827398598194122,0.703886985778809,0.149606719613075,"Europe",FALSE,FALSE,FALSE,FALSE
"67","Kuwait",5.94719457626343,65499.9494163138,0.845222055912018,65.2239532470703,0.840967178344727,0.688287258148193,0.314922988414764,"Asia",TRUE,TRUE,FALSE,FALSE
"68","Kyrgyzstan",4.85653400421143,3267.37918230384,0.914375483989716,62.5934638977051,0.813939213752747,0.778171241283417,0.126099675893784,"Asia",TRUE,TRUE,FALSE,FALSE
"69","Latvia",5.94044637680054,23223.8850008569,0.917073965072632,65.5248870849609,0.685299277305603,0.653751254081726,0.23138353228569,"Europe",FALSE,FALSE,FALSE,FALSE
"70","Lebanon",5.27072381973267,12795.5645020481,0.827885925769806,68.8722457885742,0.657357454299927,0.552651107311249,0.263445615768433,"Asia",TRUE,TRUE,FALSE,FALSE
"71","Lesotho",3.80820488929749,2586.64293512591,0.798059284687042,43.3773956298828,0.729489862918854,0.73246556520462,0.270283490419388,"Africa",TRUE,FALSE,TRUE,FALSE
"72","Liberia",3.35467600822449,797.689023226446,0.642614603042603,51.5491600036621,0.763476014137268,0.635527551174164,0.509046673774719,"Africa",TRUE,FALSE,TRUE,FALSE
"73","Libya",5.43358325958252,15144.3442347818,0.876065850257874,61.297492980957,0.822384834289551,0.717785060405731,0.383073747158051,"Africa",TRUE,FALSE,TRUE,FALSE
"74","Lithuania",5.86555242538452,27340.190840351,0.937873363494873,65.0599899291992,0.61423933506012,0.594167292118073,0.249855741858482,"Europe",FALSE,FALSE,FALSE,FALSE
"75","Luxembourg",6.96734094619751,94773.8250248486,0.941260576248169,72.8973236083984,0.882365345954895,0.757949769496918,0.192300707101822,"Europe",FALSE,FALSE,FALSE,FALSE
"76","Macedonia",5.34574604034424,13178.1538640651,0.871212244033813,65.6987228393555,0.706179320812225,0.638737201690674,0.292294681072235,"Europe",FALSE,FALSE,FALSE,FALSE
"77","Madagascar",3.6630859375,1384.90391357396,0.746496975421906,56.640567779541,0.569645404815674,0.81319135427475,0.204255416989326,"Africa",TRUE,FALSE,TRUE,FALSE
"78","Malawi",3.47649264335632,1111.75512587966,0.524299621582031,55.2821235656738,0.809884130954742,0.603104591369629,0.324738919734955,"Africa",TRUE,FALSE,TRUE,FALSE
"79","Mali",4.01602792739868,2337.58273213017,0.83625453710556,49.5902442932129,0.696007370948792,0.806901335716248,0.305299431085587,"Africa",TRUE,FALSE,TRUE,FALSE
"80","Malta",6.59084224700928,35743.4,0.93036937713623,71.6542053222656,0.9160236120224,0.687271595001221,0.355443775653839,"Europe",FALSE,FALSE,FALSE,FALSE
"81","Mauritania",4.47214937210083,3824.34195332996,0.784826874732971,53.3738098144531,0.46656146645546,0.734556078910828,0.221666142344475,"Africa",TRUE,FALSE,TRUE,FALSE
"82","Mauritius",5.61000347137451,18997.9988368005,0.836032152175903,65.4822540283203,0.819175660610199,0.784898281097412,0.245711892843246,"Africa",TRUE,FALSE,TRUE,FALSE
"83","Mexico",6.82417297363281,16723.692715518,0.893492579460144,67.9699478149414,0.751613080501556,0.859106421470642,0.219571486115456,"North America",FALSE,FALSE,FALSE,TRUE
"84","Moldova",5.57778406143188,4768.52980647591,0.83732146024704,63.9082069396973,0.557369470596313,0.621101140975952,0.274551123380661,"Europe",FALSE,FALSE,FALSE,FALSE
"85","Mongolia",5.05699968338013,11357.0073218453,0.947489380836487,62.9266548156738,0.759740948677063,0.694095432758331,0.171171754598618,"Asia",TRUE,TRUE,FALSE,FALSE
"86","Montenegro",5.30406618118286,15551.9201467444,0.865743696689606,66.5225601196289,0.568633675575256,0.591425180435181,0.336675465106964,"Europe",FALSE,FALSE,FALSE,FALSE
"87","Morocco",5.38630723953247,7386.97478539915,0.655409336090088,64.1189041137695,0.816556096076965,0.712659358978271,0.205413147807121,"Africa",TRUE,FALSE,TRUE,FALSE
